district,week_id,start_date,end_date,Duration,T2M_max,T2M_min,T2M_avg,T2M_MAX_max,T2M_MAX_min,T2M_MAX_avg,T2M_MIN_max,T2M_MIN_min,T2M_MIN_avg,RH2M_max,RH2M_min,RH2M_avg,PRECTOTCORR_max,PRECTOTCORR_min,PRECTOTCORR_avg,month,monsoon_IM2,monsoon_NE,monsoon_SW,week_number,sin_week,cos_week,target,PRECTOTCORR_avg_lag_1,T2M_avg_lag_1,RH2M_avg_lag_1,PRECTOTCORR_avg_lag_2,T2M_avg_lag_2,RH2M_avg_lag_2,PRECTOTCORR_avg_lag_3,T2M_avg_lag_3,RH2M_avg_lag_3,PRECTOTCORR_avg_lag_4,T2M_avg_lag_4,RH2M_avg_lag_4,PRECTOTCORR_avg_lag_5,T2M_avg_lag_5,RH2M_avg_lag_5,PRECTOTCORR_avg_lag_6,T2M_avg_lag_6,RH2M_avg_lag_6
Ampara,37,2025-09-08,2025-09-14, 2025-09-08 to 2025-09-14,28.31,28.31,28.31,28.31,28.31,28.31,28.31,28.31,28.31,78,78,78.0,1.08,1.08,1.08,9,0,0,1,37,-0.970941817426052,-0.23931566428755774,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anuradhapura,37,2025-09-08,2025-09-14, 2025-09-08 to 2025-09-14,26.34,26.34,26.34,26.34,26.34,26.34,26.34,26.34,26.34,82,82,82.0,0.0,0.0,0.0,9,0,0,1,37,-0.970941817426052,-0.23931566428755774,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Badulla,37,2025-09-08,2025-09-14, 2025-09-08 to 2025-09-14,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7,27.7,74,74,74.0,1.13,1.13,1.13,9,0,0,1,37,-0.970941817426052,-0.23931566428755774,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Batticaloa,37,2025-09-08,2025-09-14, 2025-09-08 to 2025-09-14,27.46,27.46,27.46,27.46,27.46,27.46,27.46,27.46,27.46,81,81,81.0,1.11,1.11,1.11,9,0,0,1,37,-0.970941817426052,-0.23931566428755774,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombo,37,2025-09-08,2025-09-14, 2025-09-08 to 2025-09-14,30.59,30.59,30.59,30.99,30.99,30.99,30.59,30.59,30.59,69,69,69.0,2.53,2.53,2.53,9,0,0,1,37,-0.970941817426052,-0.23931566428755774,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Galle,37,2025-09-08,2025-09-14, 2025-09-08 to 2025-09-14,29.43,29.43,29.43,29.43,29.43,29.43,29.43,29.43,29.43,75,75,75.0,2.1,2.1,2.1,9,0,0,1,37,-0.970941817426052,-0.23931566428755774,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gampaha,37,2025-09-08,2025-09-14, 2025-09-08 to 2025-09-14,20.82,20.82,20.82,20.82,20.82,20.82,20.82,20.82,20.82,82,82,82.0,2.24,2.24,2.24,9,0,0,1,37,-0.970941817426052,-0.23931566428755774,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hambantota,37,2025-09-08,2025-09-14, 2025-09-08 to 2025-09-14,30.18,30.18,30.18,30.18,30.18,30.18,30.18,30.18,30.18,70,70,70.0,2.43,2.43,2.43,9,0,0,1,37,-0.970941817426052,-0.23931566428755774,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaffna,37,2025-09-08,2025-09-14, 2025-09-08 to 2025-09-14,26.11,26.11,26.11,26.11,26.11,26.11,26.11,26.11,26.11,86,86,86.0,1.75,1.75,1.75,9,0,0,1,37,-0.970941817426052,-0.23931566428755774,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kalutara,37,2025-09-08,2025-09-14, 2025-09-08 to 2025-09-14,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,87,87,87.0,2.51,2.51,2.51,9,0,0,1,37,-0.970941817426052,-0.23931566428755774,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
