district,week_id,start_date,end_date,Duration,T2M_max,T2M_min,T2M_avg,T2M_MAX_max,T2M_MAX_min,T2M_MAX_avg,T2M_MIN_max,T2M_MIN_min,T2M_MIN_avg,RH2M_max,RH2M_min,RH2M_avg,PRECTOTCORR_max,PRECTOTCORR_min,PRECTOTCORR_avg,month,monsoon_IM2,monsoon_NE,monsoon_SW,week_number,sin_week,cos_week,target,PRECTOTCORR_avg_lag_1,T2M_avg_lag_1,RH2M_avg_lag_1,PRECTOTCORR_avg_lag_2,T2M_avg_lag_2,RH2M_avg_lag_2,PRECTOTCORR_avg_lag_3,T2M_avg_lag_3,RH2M_avg_lag_3,PRECTOTCORR_avg_lag_4,T2M_avg_lag_4,RH2M_avg_lag_4,PRECTOTCORR_avg_lag_5,T2M_avg_lag_5,RH2M_avg_lag_5,PRECTOTCORR_avg_lag_6,T2M_avg_lag_6,RH2M_avg_lag_6
Ampara,7,2023-02-13,2023-02-19, 2023-02-13 to 2023-02-19,23.21,23.21,23.21,23.21,23.21,23.21,23.21,23.21,23.21,98,98,98.0,0.22,0.22,0.22,2,0,1,0,7,0.7485107481711011,0.6631226582407953,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anuradhapura,7,2023-02-13,2023-02-19, 2023-02-13 to 2023-02-19,22.67,22.67,22.67,22.67,22.67,22.67,22.67,22.67,22.67,99,99,99.0,0.12,0.12,0.12,2,0,1,0,7,0.7485107481711011,0.6631226582407953,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Badulla,7,2023-02-13,2023-02-19, 2023-02-13 to 2023-02-19,21.79,21.79,21.79,21.79,21.79,21.79,21.79,21.79,21.79,97,97,97.0,0.0,0.0,0.0,2,0,1,0,7,0.7485107481711011,0.6631226582407953,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Batticaloa,7,2023-02-13,2023-02-19, 2023-02-13 to 2023-02-19,25.24,25.24,25.24,25.24,25.24,25.24,25.24,25.24,25.24,89,89,89.0,1.4,1.4,1.4,2,0,1,0,7,0.7485107481711011,0.6631226582407953,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombo,7,2023-02-13,2023-02-19, 2023-02-13 to 2023-02-19,25.03,25.03,25.03,25.99,25.99,25.99,25.03,25.03,25.03,95,95,95.0,0.0,0.0,0.0,2,0,1,0,7,0.7485107481711011,0.6631226582407953,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Galle,7,2023-02-13,2023-02-19, 2023-02-13 to 2023-02-19,25.28,25.28,25.28,25.28,25.28,25.28,25.28,25.28,25.28,88,88,88.0,0.26,0.26,0.26,2,0,1,0,7,0.7485107481711011,0.6631226582407953,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gampaha,7,2023-02-13,2023-02-19, 2023-02-13 to 2023-02-19,16.14,16.14,16.14,16.14,16.14,16.14,16.14,16.14,16.14,100,100,100.0,0.17,0.17,0.17,2,0,1,0,7,0.7485107481711011,0.6631226582407953,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hambantota,7,2023-02-13,2023-02-19, 2023-02-13 to 2023-02-19,25.18,25.18,25.18,25.18,25.18,25.18,25.18,25.18,25.18,94,94,94.0,0.0,0.0,0.0,2,0,1,0,7,0.7485107481711011,0.6631226582407953,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaffna,7,2023-02-13,2023-02-19, 2023-02-13 to 2023-02-19,26.61,26.61,26.61,26.61,26.61,26.61,26.61,26.61,26.61,84,84,84.0,0.44,0.44,0.44,2,0,1,0,7,0.7485107481711011,0.6631226582407953,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kalutara,7,2023-02-13,2023-02-19, 2023-02-13 to 2023-02-19,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,97,97,97.0,0.0,0.0,0.0,2,0,1,0,7,0.7485107481711011,0.6631226582407953,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
