district,week_id,start_date,end_date,Duration,T2M_max,T2M_min,T2M_avg,T2M_MAX_max,T2M_MAX_min,T2M_MAX_avg,T2M_MIN_max,T2M_MIN_min,T2M_MIN_avg,RH2M_max,RH2M_min,RH2M_avg,PRECTOTCORR_max,PRECTOTCORR_min,PRECTOTCORR_avg,month,monsoon_IM2,monsoon_NE,monsoon_SW,week_number,sin_week,cos_week,target,PRECTOTCORR_avg_lag_1,T2M_avg_lag_1,RH2M_avg_lag_1,PRECTOTCORR_avg_lag_2,T2M_avg_lag_2,RH2M_avg_lag_2,PRECTOTCORR_avg_lag_3,T2M_avg_lag_3,RH2M_avg_lag_3,PRECTOTCORR_avg_lag_4,T2M_avg_lag_4,RH2M_avg_lag_4,PRECTOTCORR_avg_lag_5,T2M_avg_lag_5,RH2M_avg_lag_5,PRECTOTCORR_avg_lag_6,T2M_avg_lag_6,RH2M_avg_lag_6
Ampara,12,2026-03-16,2026-03-22, 2026-03-16 to 2026-03-22,31.62,23.07,26.61,31.62,23.07,26.78875,31.62,22.65,26.5575,93,55,78.875,0.0,0.0,0.0,3,0,1,0,12,0.992708874098054,0.120536680255323,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anuradhapura,12,2026-03-16,2026-03-22, 2026-03-16 to 2026-03-22,38.16,22.07,27.847499999999997,38.16,22.07,28.07125,38.16,21.82,27.816249999999997,96,19,64.875,0.0,0.0,0.0,3,0,1,0,12,0.992708874098054,0.120536680255323,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Badulla,12,2026-03-16,2026-03-22, 2026-03-16 to 2026-03-22,32.29,20.77,25.07125,32.29,20.77,25.277500000000003,32.29,20.34,25.0175,96,42,76.125,0.0,0.0,0.0,3,0,1,0,12,0.992708874098054,0.120536680255323,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Batticaloa,12,2026-03-16,2026-03-22, 2026-03-16 to 2026-03-22,29.44,25.5,27.34375,29.44,25.5,27.41375,29.44,25.06,27.28875,83,68,77.125,0.0,0.0,0.0,3,0,1,0,12,0.992708874098054,0.120536680255323,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombo,12,2026-03-16,2026-03-22, 2026-03-16 to 2026-03-22,29.52,26.4,27.89125,29.52,26.4,27.89375,29.52,25.8,27.81375,86,67,75.75,1.36,0.0,0.3025,3,0,1,0,12,0.992708874098054,0.120536680255323,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Galle,12,2026-03-16,2026-03-22, 2026-03-16 to 2026-03-22,30.96,24.61,27.064999999999998,30.96,24.61,27.14875,30.96,24.51,27.052500000000002,90,54,77.375,0.92,0.0,0.42625,3,0,1,0,12,0.992708874098054,0.120536680255323,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gampaha,12,2026-03-16,2026-03-22, 2026-03-16 to 2026-03-22,24.68,14.36,18.46,24.68,14.36,18.67,24.68,13.57,18.36125,94,42,72.5,0.0,0.0,0.0,3,0,1,0,12,0.992708874098054,0.120536680255323,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hambantota,12,2026-03-16,2026-03-22, 2026-03-16 to 2026-03-22,32.15,24.86,27.583750000000002,32.15,24.86,27.68625,32.15,24.53,27.542499999999997,90,53,76.5,1.21,0.0,0.4975,3,0,1,0,12,0.992708874098054,0.120536680255323,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaffna,12,2026-03-16,2026-03-22, 2026-03-16 to 2026-03-22,28.05,27.55,27.76125,28.05,27.55,27.76125,28.05,27.54,27.75125,77,72,74.125,0.0,0.0,0.0,3,0,1,0,12,0.992708874098054,0.120536680255323,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kalutara,12,2026-03-16,2026-03-22, 2026-03-16 to 2026-03-22,33.85,21.9,26.0975,33.85,21.9,26.28375,33.85,21.59,26.05875,96,44,77.875,0.75,0.0,0.22125,3,0,1,0,12,0.992708874098054,0.120536680255323,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
