district,week_id,start_date,end_date,Duration,T2M_max,T2M_min,T2M_avg,T2M_MAX_max,T2M_MAX_min,T2M_MAX_avg,T2M_MIN_max,T2M_MIN_min,T2M_MIN_avg,RH2M_max,RH2M_min,RH2M_avg,PRECTOTCORR_max,PRECTOTCORR_min,PRECTOTCORR_avg,month,monsoon_IM2,monsoon_NE,monsoon_SW,week_number,sin_week,cos_week,target,PRECTOTCORR_avg_lag_1,T2M_avg_lag_1,RH2M_avg_lag_1,PRECTOTCORR_avg_lag_2,T2M_avg_lag_2,RH2M_avg_lag_2,PRECTOTCORR_avg_lag_3,T2M_avg_lag_3,RH2M_avg_lag_3,PRECTOTCORR_avg_lag_4,T2M_avg_lag_4,RH2M_avg_lag_4,PRECTOTCORR_avg_lag_5,T2M_avg_lag_5,RH2M_avg_lag_5,PRECTOTCORR_avg_lag_6,T2M_avg_lag_6,RH2M_avg_lag_6
Kurunegala,10,2025-03-03,2025-03-09, 2025-03-03 to 2025-03-09,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,20.34,99,99,99.0,0.18,0.18,0.18,3,0,1,0,10,0.9350162426854148,0.35460488704253557,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mannar,10,2025-03-03,2025-03-09, 2025-03-03 to 2025-03-09,25.52,25.52,25.52,25.52,25.52,25.52,25.52,25.52,25.52,89,89,89.0,2.72,2.72,2.72,3,0,1,0,10,0.9350162426854148,0.35460488704253557,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matale,10,2025-03-03,2025-03-09, 2025-03-03 to 2025-03-09,21.06,21.06,21.06,21.06,21.06,21.06,21.06,21.06,21.06,99,99,99.0,1.32,1.32,1.32,3,0,1,0,10,0.9350162426854148,0.35460488704253557,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matara,10,2025-03-03,2025-03-09, 2025-03-03 to 2025-03-09,24.35,24.35,24.35,24.35,24.35,24.35,24.35,24.35,24.35,91,91,91.0,1.2,1.2,1.2,3,0,1,0,10,0.9350162426854148,0.35460488704253557,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monaragala,10,2025-03-03,2025-03-09, 2025-03-03 to 2025-03-09,22.53,22.53,22.53,22.53,22.53,22.53,22.53,22.53,22.53,97,97,97.0,0.0,0.0,0.0,3,0,1,0,10,0.9350162426854148,0.35460488704253557,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mullaitivu,10,2025-03-03,2025-03-09, 2025-03-03 to 2025-03-09,25.43,25.43,25.43,25.43,25.43,25.43,25.43,25.43,25.43,88,88,88.0,0.18,0.18,0.18,3,0,1,0,10,0.9350162426854148,0.35460488704253557,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nuwara Eliya,10,2025-03-03,2025-03-09, 2025-03-03 to 2025-03-09,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,96,96,96.0,0.64,0.64,0.64,3,0,1,0,10,0.9350162426854148,0.35460488704253557,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Polonnaruwa,10,2025-03-03,2025-03-09, 2025-03-03 to 2025-03-09,21.82,21.82,21.82,21.82,21.82,21.82,21.82,21.82,21.82,97,97,97.0,0.57,0.57,0.57,3,0,1,0,10,0.9350162426854148,0.35460488704253557,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puttalam,10,2025-03-03,2025-03-09, 2025-03-03 to 2025-03-09,23.85,23.85,23.85,23.85,23.85,23.85,23.85,23.85,23.85,94,94,94.0,0.0,0.0,0.0,3,0,1,0,10,0.9350162426854148,0.35460488704253557,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ratnapura,10,2025-03-03,2025-03-09, 2025-03-03 to 2025-03-09,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22,99,99,99.0,1.06,1.06,1.06,3,0,1,0,10,0.9350162426854148,0.35460488704253557,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trincomalee,10,2025-03-03,2025-03-09, 2025-03-03 to 2025-03-09,24.95,24.95,24.95,24.95,24.95,24.95,24.95,24.95,24.95,88,88,88.0,0.51,0.51,0.51,3,0,1,0,10,0.9350162426854148,0.35460488704253557,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vavuniya,10,2025-03-03,2025-03-09, 2025-03-03 to 2025-03-09,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,99,99,99.0,1.31,1.31,1.31,3,0,1,0,10,0.9350162426854148,0.35460488704253557,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
