district,week_id,start_date,end_date,Duration,T2M_max,T2M_min,T2M_avg,T2M_MAX_max,T2M_MAX_min,T2M_MAX_avg,T2M_MIN_max,T2M_MIN_min,T2M_MIN_avg,RH2M_max,RH2M_min,RH2M_avg,PRECTOTCORR_max,PRECTOTCORR_min,PRECTOTCORR_avg,month,monsoon_IM2,monsoon_NE,monsoon_SW,week_number,sin_week,cos_week,target,PRECTOTCORR_avg_lag_1,T2M_avg_lag_1,RH2M_avg_lag_1,PRECTOTCORR_avg_lag_2,T2M_avg_lag_2,RH2M_avg_lag_2,PRECTOTCORR_avg_lag_3,T2M_avg_lag_3,RH2M_avg_lag_3,PRECTOTCORR_avg_lag_4,T2M_avg_lag_4,RH2M_avg_lag_4,PRECTOTCORR_avg_lag_5,T2M_avg_lag_5,RH2M_avg_lag_5,PRECTOTCORR_avg_lag_6,T2M_avg_lag_6,RH2M_avg_lag_6
Ampara,5,2022-01-31,2022-02-06, 2022-01-31 to 2022-02-06,23.68,23.68,23.68,23.68,23.68,23.68,23.68,23.68,23.68,96,96,96.0,0.29,0.29,0.29,1,0,1,0,5,0.5680647467311558,0.8229838658936564,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anuradhapura,5,2022-01-31,2022-02-06, 2022-01-31 to 2022-02-06,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,96,96,96.0,0.0,0.0,0.0,1,0,1,0,5,0.5680647467311558,0.8229838658936564,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Badulla,5,2022-01-31,2022-02-06, 2022-01-31 to 2022-02-06,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,22.14,96,96,96.0,0.0,0.0,0.0,1,0,1,0,5,0.5680647467311558,0.8229838658936564,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Batticaloa,5,2022-01-31,2022-02-06, 2022-01-31 to 2022-02-06,25.45,25.45,25.45,25.45,25.45,25.45,25.45,25.45,25.45,89,89,89.0,1.85,1.85,1.85,1,0,1,0,5,0.5680647467311558,0.8229838658936564,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombo,5,2022-01-31,2022-02-06, 2022-01-31 to 2022-02-06,25.03,25.03,25.03,25.99,25.99,25.99,25.03,25.03,25.03,95,95,95.0,0.0,0.0,0.0,1,0,1,0,5,0.5680647467311558,0.8229838658936564,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Galle,5,2022-01-31,2022-02-06, 2022-01-31 to 2022-02-06,26.08,26.08,26.08,26.08,26.08,26.08,26.08,26.08,26.08,84,84,84.0,0.0,0.0,0.0,1,0,1,0,5,0.5680647467311558,0.8229838658936564,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gampaha,5,2022-01-31,2022-02-06, 2022-01-31 to 2022-02-06,16.55,16.55,16.55,16.55,16.55,16.55,16.55,16.55,16.55,99,99,99.0,0.0,0.0,0.0,1,0,1,0,5,0.5680647467311558,0.8229838658936564,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hambantota,5,2022-01-31,2022-02-06, 2022-01-31 to 2022-02-06,25.18,25.18,25.18,25.18,25.18,25.18,25.18,25.18,25.18,94,94,94.0,0.0,0.0,0.0,1,0,1,0,5,0.5680647467311558,0.8229838658936564,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaffna,5,2022-01-31,2022-02-06, 2022-01-31 to 2022-02-06,26.59,26.59,26.59,26.59,26.59,26.59,26.59,26.59,26.59,86,86,86.0,0.59,0.59,0.59,1,0,1,0,5,0.5680647467311558,0.8229838658936564,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kalutara,5,2022-01-31,2022-02-06, 2022-01-31 to 2022-02-06,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,97,97,97.0,0.12,0.12,0.12,1,0,1,0,5,0.5680647467311558,0.8229838658936564,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
