district,week_id,start_date,end_date,Duration,T2M_max,T2M_min,T2M_avg,T2M_MAX_max,T2M_MAX_min,T2M_MAX_avg,T2M_MIN_max,T2M_MIN_min,T2M_MIN_avg,RH2M_max,RH2M_min,RH2M_avg,PRECTOTCORR_max,PRECTOTCORR_min,PRECTOTCORR_avg,month,monsoon_IM2,monsoon_NE,monsoon_SW,week_number,sin_week,cos_week,target,PRECTOTCORR_avg_lag_1,T2M_avg_lag_1,RH2M_avg_lag_1,PRECTOTCORR_avg_lag_2,T2M_avg_lag_2,RH2M_avg_lag_2,PRECTOTCORR_avg_lag_3,T2M_avg_lag_3,RH2M_avg_lag_3,PRECTOTCORR_avg_lag_4,T2M_avg_lag_4,RH2M_avg_lag_4,PRECTOTCORR_avg_lag_5,T2M_avg_lag_5,RH2M_avg_lag_5,PRECTOTCORR_avg_lag_6,T2M_avg_lag_6,RH2M_avg_lag_6
Ampara,7,2022-02-14,2022-02-20, 2022-02-14 to 2022-02-20,23.11,23.11,23.11,23.11,23.11,23.11,23.11,23.11,23.11,98,98,98.0,0.19,0.19,0.19,2,0,1,0,7,0.7485107481711011,0.6631226582407953,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anuradhapura,7,2022-02-14,2022-02-20, 2022-02-14 to 2022-02-20,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.6,99,99,99.0,0.0,0.0,0.0,2,0,1,0,7,0.7485107481711011,0.6631226582407953,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Badulla,7,2022-02-14,2022-02-20, 2022-02-14 to 2022-02-20,21.71,21.71,21.71,21.71,21.71,21.71,21.71,21.71,21.71,97,97,97.0,0.0,0.0,0.0,2,0,1,0,7,0.7485107481711011,0.6631226582407953,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Batticaloa,7,2022-02-14,2022-02-20, 2022-02-14 to 2022-02-20,25.31,25.31,25.31,25.31,25.31,25.31,25.31,25.31,25.31,88,88,88.0,0.64,0.64,0.64,2,0,1,0,7,0.7485107481711011,0.6631226582407953,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombo,7,2022-02-14,2022-02-20, 2022-02-14 to 2022-02-20,25.45,25.45,25.45,25.45,25.45,25.45,25.45,25.45,25.45,85,85,85.0,0.0,0.0,0.0,2,0,1,0,7,0.7485107481711011,0.6631226582407953,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Galle,7,2022-02-14,2022-02-20, 2022-02-14 to 2022-02-20,24.82,24.82,24.82,24.82,24.82,24.82,24.82,24.82,24.82,88,88,88.0,0.0,0.0,0.0,2,0,1,0,7,0.7485107481711011,0.6631226582407953,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gampaha,7,2022-02-14,2022-02-20, 2022-02-14 to 2022-02-20,16.05,16.05,16.05,16.05,16.05,16.05,16.05,16.05,16.05,99,99,99.0,0.21,0.21,0.21,2,0,1,0,7,0.7485107481711011,0.6631226582407953,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hambantota,7,2022-02-14,2022-02-20, 2022-02-14 to 2022-02-20,25.38,25.38,25.38,25.38,25.38,25.38,25.38,25.38,25.38,83,83,83.0,0.0,0.0,0.0,2,0,1,0,7,0.7485107481711011,0.6631226582407953,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaffna,7,2022-02-14,2022-02-20, 2022-02-14 to 2022-02-20,26.61,26.61,26.61,26.61,26.61,26.61,26.61,26.61,26.61,84,84,84.0,0.51,0.51,0.51,2,0,1,0,7,0.7485107481711011,0.6631226582407953,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kalutara,7,2022-02-14,2022-02-20, 2022-02-14 to 2022-02-20,22.72,22.72,22.72,22.72,22.72,22.72,22.72,22.72,22.72,98,98,98.0,0.0,0.0,0.0,2,0,1,0,7,0.7485107481711011,0.6631226582407953,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
