district,week_id,start_date,end_date,Duration,T2M_max,T2M_min,T2M_avg,T2M_MAX_max,T2M_MAX_min,T2M_MAX_avg,T2M_MIN_max,T2M_MIN_min,T2M_MIN_avg,RH2M_max,RH2M_min,RH2M_avg,PRECTOTCORR_max,PRECTOTCORR_min,PRECTOTCORR_avg,month,monsoon_IM2,monsoon_NE,monsoon_SW,week_number,sin_week,cos_week,target,PRECTOTCORR_avg_lag_1,T2M_avg_lag_1,RH2M_avg_lag_1,PRECTOTCORR_avg_lag_2,T2M_avg_lag_2,RH2M_avg_lag_2,PRECTOTCORR_avg_lag_3,T2M_avg_lag_3,RH2M_avg_lag_3,PRECTOTCORR_avg_lag_4,T2M_avg_lag_4,RH2M_avg_lag_4,PRECTOTCORR_avg_lag_5,T2M_avg_lag_5,RH2M_avg_lag_5,PRECTOTCORR_avg_lag_6,T2M_avg_lag_6,RH2M_avg_lag_6
Ampara,6,2022-02-07,2022-02-13, 2022-02-07 to 2022-02-13,23.21,23.21,23.21,23.21,23.21,23.21,23.21,23.21,23.21,98,98,98.0,0.22,0.22,0.22,2,0,1,0,6,0.6631226582407952,0.7485107481711011,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anuradhapura,6,2022-02-07,2022-02-13, 2022-02-07 to 2022-02-13,22.67,22.67,22.67,22.67,22.67,22.67,22.67,22.67,22.67,99,99,99.0,0.12,0.12,0.12,2,0,1,0,6,0.6631226582407952,0.7485107481711011,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Badulla,6,2022-02-07,2022-02-13, 2022-02-07 to 2022-02-13,21.79,21.79,21.79,21.79,21.79,21.79,21.79,21.79,21.79,97,97,97.0,0.0,0.0,0.0,2,0,1,0,6,0.6631226582407952,0.7485107481711011,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Batticaloa,6,2022-02-07,2022-02-13, 2022-02-07 to 2022-02-13,25.24,25.24,25.24,25.24,25.24,25.24,25.24,25.24,25.24,89,89,89.0,1.4,1.4,1.4,2,0,1,0,6,0.6631226582407952,0.7485107481711011,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombo,6,2022-02-07,2022-02-13, 2022-02-07 to 2022-02-13,25.65,25.65,25.65,25.65,25.65,25.65,25.65,25.65,25.65,85,85,85.0,0.0,0.0,0.0,2,0,1,0,6,0.6631226582407952,0.7485107481711011,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Galle,6,2022-02-07,2022-02-13, 2022-02-07 to 2022-02-13,25.28,25.28,25.28,25.28,25.28,25.28,25.28,25.28,25.28,88,88,88.0,0.26,0.26,0.26,2,0,1,0,6,0.6631226582407952,0.7485107481711011,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gampaha,6,2022-02-07,2022-02-13, 2022-02-07 to 2022-02-13,16.14,16.14,16.14,16.14,16.14,16.14,16.14,16.14,16.14,100,100,100.0,0.17,0.17,0.17,2,0,1,0,6,0.6631226582407952,0.7485107481711011,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hambantota,6,2022-02-07,2022-02-13, 2022-02-07 to 2022-02-13,25.18,25.18,25.18,25.18,25.18,25.18,25.18,25.18,25.18,94,94,94.0,0.0,0.0,0.0,2,0,1,0,6,0.6631226582407952,0.7485107481711011,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaffna,6,2022-02-07,2022-02-13, 2022-02-07 to 2022-02-13,26.61,26.61,26.61,26.61,26.61,26.61,26.61,26.61,26.61,84,84,84.0,0.44,0.44,0.44,2,0,1,0,6,0.6631226582407952,0.7485107481711011,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kalutara,6,2022-02-07,2022-02-13, 2022-02-07 to 2022-02-13,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,97,97,97.0,0.0,0.0,0.0,2,0,1,0,6,0.6631226582407952,0.7485107481711011,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
