district,week_id,start_date,end_date,Duration,T2M_max,T2M_min,T2M_avg,T2M_MAX_max,T2M_MAX_min,T2M_MAX_avg,T2M_MIN_max,T2M_MIN_min,T2M_MIN_avg,RH2M_max,RH2M_min,RH2M_avg,PRECTOTCORR_max,PRECTOTCORR_min,PRECTOTCORR_avg,month,monsoon_IM2,monsoon_NE,monsoon_SW,week_number,sin_week,cos_week,target,PRECTOTCORR_avg_lag_1,T2M_avg_lag_1,RH2M_avg_lag_1,PRECTOTCORR_avg_lag_2,T2M_avg_lag_2,RH2M_avg_lag_2,PRECTOTCORR_avg_lag_3,T2M_avg_lag_3,RH2M_avg_lag_3,PRECTOTCORR_avg_lag_4,T2M_avg_lag_4,RH2M_avg_lag_4,PRECTOTCORR_avg_lag_5,T2M_avg_lag_5,RH2M_avg_lag_5,PRECTOTCORR_avg_lag_6,T2M_avg_lag_6,RH2M_avg_lag_6
Ampara,11,2026-03-09,2026-03-15, 2026-03-09 to 2026-03-15,30.58,22.4,26.073076923076922,30.58,22.4,26.073076923076922,30.58,22.4,26.04730769230769,96,54,78.96153846153847,2.11,0.0,0.18192307692307694,3,0,1,0,11,0.970941817426052,0.23931566428755804,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anuradhapura,11,2026-03-09,2026-03-15, 2026-03-09 to 2026-03-15,37.5,21.22,27.085384615384616,37.5,21.22,27.085384615384616,37.5,21.22,27.00769230769231,97,23,68.1923076923077,1.74,0.0,0.12269230769230771,3,0,1,0,11,0.970941817426052,0.23931566428755804,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Badulla,11,2026-03-09,2026-03-15, 2026-03-09 to 2026-03-15,30.92,20.54,24.479999999999997,30.92,20.54,24.48615384615384,30.92,20.54,24.470769230769232,96,46,78.57692307692308,3.47,0.0,0.2953846153846154,3,0,1,0,11,0.970941817426052,0.23931566428755804,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Batticaloa,11,2026-03-09,2026-03-15, 2026-03-09 to 2026-03-15,28.7,24.41,26.692307692307693,28.7,24.41,26.692307692307693,28.7,24.41,26.678461538461537,88,65,77.07692307692308,0.45,0.0,0.04576923076923077,3,0,1,0,11,0.970941817426052,0.23931566428755804,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombo,11,2026-03-09,2026-03-15, 2026-03-09 to 2026-03-15,28.99,24.27,27.021923076923073,28.99,24.27,27.021923076923073,28.7,24.27,26.873846153846156,86,66,75.53846153846153,2.12,0.0,0.32538461538461544,3,0,1,0,11,0.970941817426052,0.23931566428755804,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Galle,11,2026-03-09,2026-03-15, 2026-03-09 to 2026-03-15,30.17,23.61,26.414615384615384,30.17,23.61,26.414615384615384,30.17,23.61,26.38230769230769,90,58,77.5,2.14,0.0,0.195,3,0,1,0,11,0.970941817426052,0.23931566428755804,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gampaha,11,2026-03-09,2026-03-15, 2026-03-09 to 2026-03-15,23.57,14.35,17.916923076923077,23.57,14.35,17.916923076923077,23.57,14.35,17.883846153846154,96,56,83.65384615384616,12.38,0.0,1.2538461538461538,3,0,1,0,11,0.970941817426052,0.23931566428755804,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hambantota,11,2026-03-09,2026-03-15, 2026-03-09 to 2026-03-15,30.12,23.49,26.630769230769236,30.12,23.49,26.630769230769236,30.12,23.49,26.49346153846154,91,60,78.34615384615384,1.96,0.0,0.2446153846153846,3,0,1,0,11,0.970941817426052,0.23931566428755804,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaffna,11,2026-03-09,2026-03-15, 2026-03-09 to 2026-03-15,27.68,26.86,27.245769230769234,27.68,26.86,27.245769230769234,27.68,26.86,27.23423076923077,78,70,75.38461538461539,0.1,0.0,0.0038461538461538464,3,0,1,0,11,0.970941817426052,0.23931566428755804,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kalutara,11,2026-03-09,2026-03-15, 2026-03-09 to 2026-03-15,34.27,20.27,25.26115384615385,34.27,20.27,25.26115384615385,34.27,20.27,25.24692307692308,96,40,80.34615384615384,4.35,0.0,0.7088461538461538,3,0,1,0,11,0.970941817426052,0.23931566428755804,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kandy,11,2026-03-09,2026-03-15, 2026-03-09 to 2026-03-15,30.51,18.78,23.09115384615384,30.51,18.78,23.09115384615384,30.51,18.78,23.035,97,43,81.03846153846153,3.49,0.0,0.6523076923076924,3,0,1,0,11,0.970941817426052,0.23931566428755804,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kegalle,11,2026-03-09,2026-03-15, 2026-03-09 to 2026-03-15,28.06,18.15,22.314230769230768,28.06,18.15,22.314230769230768,28.06,18.15,22.256923076923076,94,52,80.15384615384616,3.79,0.0,0.6046153846153847,3,0,1,0,11,0.970941817426052,0.23931566428755804,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kilinochchi,11,2026-03-09,2026-03-15, 2026-03-09 to 2026-03-15,33.18,21.79,26.470769230769235,33.18,21.79,26.470769230769235,33.18,21.79,26.447307692307692,95,43,74.07692307692308,0.2,0.0,0.007692307692307693,3,0,1,0,11,0.970941817426052,0.23931566428755804,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kurunegala,11,2026-03-09,2026-03-15, 2026-03-09 to 2026-03-15,32.26,19.4,24.03192307692308,32.26,19.4,24.03192307692308,32.26,19.4,23.985384615384614,98,40,82.3076923076923,2.65,0.0,0.5315384615384616,3,0,1,0,11,0.970941817426052,0.23931566428755804,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mannar,11,2026-03-09,2026-03-15, 2026-03-09 to 2026-03-15,28.96,23.65,26.35076923076923,28.96,23.65,26.35076923076923,28.96,23.65,26.270384615384618,89,63,76.1923076923077,0.0,0.0,0.0,3,0,1,0,11,0.970941817426052,0.23931566428755804,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matale,11,2026-03-09,2026-03-15, 2026-03-09 to 2026-03-15,35.53,20.84,25.924999999999997,35.53,20.84,25.924999999999997,35.53,20.84,25.904615384615383,99,30,74.5,2.88,0.0,0.21153846153846154,3,0,1,0,11,0.970941817426052,0.23931566428755804,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matara,11,2026-03-09,2026-03-15, 2026-03-09 to 2026-03-15,28.16,25.96,27.344999999999995,28.16,25.96,27.344999999999995,28.16,25.96,27.319615384615382,85,73,77.5,0.96,0.0,0.09038461538461538,3,0,1,0,11,0.970941817426052,0.23931566428755804,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monaragala,11,2026-03-09,2026-03-15, 2026-03-09 to 2026-03-15,33.79,21.63,26.049615384615382,33.79,21.63,26.049615384615382,33.79,21.63,26.01384615384615,95,37,74.03846153846153,3.56,0.0,0.23192307692307693,3,0,1,0,11,0.970941817426052,0.23931566428755804,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mullaitivu,11,2026-03-09,2026-03-15, 2026-03-09 to 2026-03-15,27.72,26.87,27.342307692307696,27.72,26.87,27.342307692307696,27.72,26.87,27.330384615384617,77,68,73.15384615384616,0.22,0.0,0.01423076923076923,3,0,1,0,11,0.970941817426052,0.23931566428755804,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nuwara Eliya,11,2026-03-09,2026-03-15, 2026-03-09 to 2026-03-15,19.88,10.34,13.72346153846154,19.88,10.34,13.72346153846154,19.88,10.34,13.709615384615386,96,55,86.0,14.56,0.0,1.4700000000000002,3,0,1,0,11,0.970941817426052,0.23931566428755804,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Polonnaruwa,11,2026-03-09,2026-03-15, 2026-03-09 to 2026-03-15,33.68,21.72,26.186538461538458,33.68,21.72,26.186538461538458,33.68,21.72,26.151153846153843,97,40,75.57692307692308,0.11,0.0,0.004230769230769231,3,0,1,0,11,0.970941817426052,0.23931566428755804,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puttalam,11,2026-03-09,2026-03-15, 2026-03-09 to 2026-03-15,30.8,23.83,26.923461538461538,30.8,23.83,26.923461538461538,30.8,23.83,26.83423076923077,91,54,74.15384615384616,0.23,0.0,0.02692307692307692,3,0,1,0,11,0.970941817426052,0.23931566428755804,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ratnapura,11,2026-03-09,2026-03-15, 2026-03-09 to 2026-03-15,34.49,21.27,25.707692307692305,34.49,21.27,25.70846153846154,34.49,21.27,25.699615384615388,95,38,81.15384615384616,4.75,0.0,1.0046153846153847,3,0,1,0,11,0.970941817426052,0.23931566428755804,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trincomalee,11,2026-03-09,2026-03-15, 2026-03-09 to 2026-03-15,27.69,25.58,26.943076923076923,27.69,25.58,26.943076923076923,27.69,25.58,26.923846153846153,84,69,75.46153846153847,0.23,0.0,0.008846153846153847,3,0,1,0,11,0.970941817426052,0.23931566428755804,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vavuniya,11,2026-03-09,2026-03-15, 2026-03-09 to 2026-03-15,38.8,20.62,27.035769230769233,38.8,20.62,27.035769230769233,38.8,20.62,26.97230769230769,99,22,69.5,1.03,0.0,0.04961538461538462,3,0,1,0,11,0.970941817426052,0.23931566428755804,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
