district,week_id,start_date,end_date,Duration,T2M_max,T2M_min,T2M_avg,T2M_MAX_max,T2M_MAX_min,T2M_MAX_avg,T2M_MIN_max,T2M_MIN_min,T2M_MIN_avg,RH2M_max,RH2M_min,RH2M_avg,PRECTOTCORR_max,PRECTOTCORR_min,PRECTOTCORR_avg,month,monsoon_IM2,monsoon_NE,monsoon_SW,week_number,sin_week,cos_week,target,PRECTOTCORR_avg_lag_1,T2M_avg_lag_1,RH2M_avg_lag_1,PRECTOTCORR_avg_lag_2,T2M_avg_lag_2,RH2M_avg_lag_2,PRECTOTCORR_avg_lag_3,T2M_avg_lag_3,RH2M_avg_lag_3,PRECTOTCORR_avg_lag_4,T2M_avg_lag_4,RH2M_avg_lag_4,PRECTOTCORR_avg_lag_5,T2M_avg_lag_5,RH2M_avg_lag_5,PRECTOTCORR_avg_lag_6,T2M_avg_lag_6,RH2M_avg_lag_6
Ampara,13,2026-03-23,2026-03-29, 2026-03-23 to 2026-03-29,32.76,20.72,26.3185,32.76,20.72,26.3185,32.76,20.72,26.303250000000002,95,45,73.9,0.13,0.0,0.0032500000000000003,3,0,1,0,13,1.0,-1.6081226496766364e-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anuradhapura,13,2026-03-23,2026-03-29, 2026-03-23 to 2026-03-29,39.08,20.29,28.045499999999993,39.08,20.29,28.045499999999993,39.08,20.29,28.034249999999997,96,17,59.55,0.0,0.0,0.0,3,0,1,0,13,1.0,-1.6081226496766364e-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Badulla,13,2026-03-23,2026-03-29, 2026-03-23 to 2026-03-29,33.67,19.34,25.244,33.67,19.34,25.244,33.67,19.34,25.228749999999998,93,29,69.55,0.0,0.0,0.0,3,0,1,0,13,1.0,-1.6081226496766364e-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Batticaloa,13,2026-03-23,2026-03-29, 2026-03-23 to 2026-03-29,29.64,23.54,26.83175,29.64,23.54,26.83175,29.64,23.54,26.821749999999998,88,58,72.5,0.13,0.0,0.0032500000000000003,3,0,1,0,13,1.0,-1.6081226496766364e-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombo,13,2026-03-23,2026-03-29, 2026-03-23 to 2026-03-29,29.45,24.95,27.6385,29.45,24.95,27.651999999999997,29.45,24.95,27.6365,87,67,75.1,0.45,0.0,0.01825,3,0,1,0,13,1.0,-1.6081226496766364e-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Galle,13,2026-03-23,2026-03-29, 2026-03-23 to 2026-03-29,30.88,24.19,27.026249999999997,30.88,24.19,27.026249999999997,30.88,24.19,27.007749999999998,88,50,75.425,1.09,0.0,0.096,3,0,1,0,13,1.0,-1.6081226496766364e-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gampaha,13,2026-03-23,2026-03-29, 2026-03-23 to 2026-03-29,27.18,13.64,18.905,27.18,13.64,18.905,27.18,13.36,18.86825,94,27,56.75,0.3,0.0,0.0075,3,0,1,0,13,1.0,-1.6081226496766364e-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hambantota,13,2026-03-23,2026-03-29, 2026-03-23 to 2026-03-29,32.23,23.41,27.477999999999998,32.23,23.41,27.477999999999998,32.23,23.41,27.458000000000006,96,43,72.175,0.66,0.0,0.03625,3,0,1,0,13,1.0,-1.6081226496766364e-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaffna,13,2026-03-23,2026-03-29, 2026-03-23 to 2026-03-29,28.48,26.14,27.580999999999996,28.48,26.14,27.580999999999996,28.48,26.14,27.572499999999998,75,58,68.425,0.0,0.0,0.0,3,0,1,0,13,1.0,-1.6081226496766364e-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kalutara,13,2026-03-23,2026-03-29, 2026-03-23 to 2026-03-29,34.5,20.79,26.52675,34.5,20.79,26.52675,34.5,20.79,26.506999999999998,98,34,75.425,1.59,0.0,0.13075,3,0,1,0,13,1.0,-1.6081226496766364e-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kandy,13,2026-03-23,2026-03-29, 2026-03-23 to 2026-03-29,34.57,18.06,24.61025,34.57,18.06,24.61025,34.57,18.0,24.572,97,22,60.1,0.3,0.0,0.01,3,0,1,0,13,1.0,-1.6081226496766364e-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kegalle,13,2026-03-23,2026-03-29, 2026-03-23 to 2026-03-29,31.76,17.15,22.806,31.76,17.15,22.806,31.76,17.15,22.772250000000003,91,27,60.375,0.24,0.0,0.006,3,0,1,0,13,1.0,-1.6081226496766364e-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kilinochchi,13,2026-03-23,2026-03-29, 2026-03-23 to 2026-03-29,34.23,20.42,26.93725,34.23,20.42,26.93725,34.23,20.42,26.928500000000003,93,34,66.425,0.0,0.0,0.0,3,0,1,0,13,1.0,-1.6081226496766364e-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kurunegala,13,2026-03-23,2026-03-29, 2026-03-23 to 2026-03-29,35.68,18.88,25.761000000000003,35.68,18.88,25.761000000000003,35.68,18.88,25.726499999999998,99,20,62.4,0.24,0.0,0.006,3,0,1,0,13,1.0,-1.6081226496766364e-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mannar,13,2026-03-23,2026-03-29, 2026-03-23 to 2026-03-29,30.67,23.65,26.71075,30.67,23.65,26.71075,30.67,23.65,26.696749999999998,85,59,71.975,0.0,0.0,0.0,3,0,1,0,13,1.0,-1.6081226496766364e-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matale,13,2026-03-23,2026-03-29, 2026-03-23 to 2026-03-29,37.97,19.06,26.722500000000004,37.97,19.06,26.722500000000004,37.97,19.06,26.70275,98,21,62.65,0.12,0.0,0.003,3,0,1,0,13,1.0,-1.6081226496766364e-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
