district,week_id,start_date,end_date,Duration,T2M_max,T2M_min,T2M_avg,T2M_MAX_max,T2M_MAX_min,T2M_MAX_avg,T2M_MIN_max,T2M_MIN_min,T2M_MIN_avg,RH2M_max,RH2M_min,RH2M_avg,PRECTOTCORR_max,PRECTOTCORR_min,PRECTOTCORR_avg,month,monsoon_IM2,monsoon_NE,monsoon_SW,week_number,sin_week,cos_week,target,PRECTOTCORR_avg_lag_1,T2M_avg_lag_1,RH2M_avg_lag_1,PRECTOTCORR_avg_lag_2,T2M_avg_lag_2,RH2M_avg_lag_2,PRECTOTCORR_avg_lag_3,T2M_avg_lag_3,RH2M_avg_lag_3,PRECTOTCORR_avg_lag_4,T2M_avg_lag_4,RH2M_avg_lag_4,PRECTOTCORR_avg_lag_5,T2M_avg_lag_5,RH2M_avg_lag_5,PRECTOTCORR_avg_lag_6,T2M_avg_lag_6,RH2M_avg_lag_6
Ampara,36,2025-09-01,2025-09-07, 2025-09-01 to 2025-09-07,23.06,23.06,23.06,23.06,23.06,23.06,23.06,23.06,23.06,98,98,98.0,0.0,0.0,0.0,9,0,0,1,36,-0.9350162426854147,-0.3546048870425359,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anuradhapura,36,2025-09-01,2025-09-07, 2025-09-01 to 2025-09-07,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,99,99,99.0,0.0,0.0,0.0,9,0,0,1,36,-0.9350162426854147,-0.3546048870425359,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Badulla,36,2025-09-01,2025-09-07, 2025-09-01 to 2025-09-07,21.63,21.63,21.63,21.63,21.63,21.63,21.63,21.63,21.63,97,97,97.0,0.0,0.0,0.0,9,0,0,1,36,-0.9350162426854147,-0.3546048870425359,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Batticaloa,36,2025-09-01,2025-09-07, 2025-09-01 to 2025-09-07,25.23,25.23,25.23,25.23,25.23,25.23,25.23,25.23,25.23,88,88,88.0,0.48,0.48,0.48,9,0,0,1,36,-0.9350162426854147,-0.3546048870425359,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombo,36,2025-09-01,2025-09-07, 2025-09-01 to 2025-09-07,25.03,25.03,25.03,25.03,25.03,25.03,24.99,24.99,24.99,95,95,95.0,0.0,0.0,0.0,9,0,0,1,36,-0.9350162426854147,-0.3546048870425359,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Galle,36,2025-09-01,2025-09-07, 2025-09-01 to 2025-09-07,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,89,89,89.0,0.0,0.0,0.0,9,0,0,1,36,-0.9350162426854147,-0.3546048870425359,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gampaha,36,2025-09-01,2025-09-07, 2025-09-01 to 2025-09-07,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,98,98,98.0,0.43,0.43,0.43,9,0,0,1,36,-0.9350162426854147,-0.3546048870425359,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hambantota,36,2025-09-01,2025-09-07, 2025-09-01 to 2025-09-07,24.97,24.97,24.97,24.97,24.97,24.97,24.97,24.97,24.97,85,85,85.0,0.0,0.0,0.0,9,0,0,1,36,-0.9350162426854147,-0.3546048870425359,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaffna,36,2025-09-01,2025-09-07, 2025-09-01 to 2025-09-07,26.65,26.65,26.65,26.65,26.65,26.65,26.65,26.65,26.65,83,83,83.0,0.35,0.35,0.35,9,0,0,1,36,-0.9350162426854147,-0.3546048870425359,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kalutara,36,2025-09-01,2025-09-07, 2025-09-01 to 2025-09-07,22.43,22.43,22.43,22.43,22.43,22.43,22.43,22.43,22.43,98,98,98.0,0.0,0.0,0.0,9,0,0,1,36,-0.9350162426854147,-0.3546048870425359,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
