,MAE,RMSE,R2,Interval_Coverage,Interval_Width,XGBoost_Weight,LightGBM_Weight,Model,Test_Samples,Baseline_Ridge_MAE,Baseline_Ridge_R2,Baseline_DT_MAE,Baseline_DT_R2
Leptospirosis,2.661659393746971,5.226630996081546,0.7156244598678295,0.9030927835051547,13.138946954974388,0.99,0.01,XGBoost + LightGBM Blended,7275,3.2769996145518414,0.671746970591302,3.2208374189704863,0.6802566649706577
Typhus,0.6277564287550712,1.9594812819381275,0.7164411217966864,0.9311340206185567,2.721937625060896,0.01,0.99,XGBoost + LightGBM Blended,7275,0.6735446991481306,0.8426964035585045,0.641615745257619,0.8307837139591714
Hepatitis A,0.25266560256914017,0.6351783449496057,0.3119886656783112,0.9861168384879725,1.4467886108255863,0.99,0.01,XGBoost + LightGBM Blended,7275,0.29757785797998415,0.40719678924642544,0.27463621283831796,0.4410383154921266
Chickenpox,1.5970062384262318,2.6910273957533852,0.7205709848013827,0.9138144329896907,7.552719364884957,0.9885786019592471,0.011421398040752909,XGBoost + LightGBM Blended,7275,1.788945614756067,0.6952780793295906,1.7493458689345318,0.7053954898908039
