,MAE,RMSE,R2,MSE_norm,Epochs
Hepatitis A,0.3325080992083539,0.6196686674709088,0.14466078953819472,0.01596030003066257,150.0
Typhus,0.8925055045225291,2.163826201348406,0.4577777579943907,0.005972122231686063,150.0
