district,week_id,start_date,end_date,Duration,T2M_max,T2M_min,T2M_avg,T2M_MAX_max,T2M_MAX_min,T2M_MAX_avg,T2M_MIN_max,T2M_MIN_min,T2M_MIN_avg,RH2M_max,RH2M_min,RH2M_avg,PRECTOTCORR_max,PRECTOTCORR_min,PRECTOTCORR_avg,month,monsoon_IM2,monsoon_NE,monsoon_SW,week_number,sin_week,cos_week,PRECTOTCORR_avg_lag_1,PRECTOTCORR_avg_lag_2,PRECTOTCORR_avg_lag_3,PRECTOTCORR_avg_lag_4,PRECTOTCORR_avg_lag_5,PRECTOTCORR_avg_lag_6,T2M_avg_lag_1,T2M_avg_lag_2,T2M_avg_lag_3,T2M_avg_lag_4,T2M_avg_lag_5,T2M_avg_lag_6,RH2M_avg_lag_1,RH2M_avg_lag_2,RH2M_avg_lag_3,RH2M_avg_lag_4,RH2M_avg_lag_5,RH2M_avg_lag_6,target
Monaragala,123,2022-05-07,2022-05-13, 2022-05-07 to 2022-05-13,26.31,24.78,25.45,31.22,28.23,29.39285714,23.49,21.63,22.60428571,89.25,80.6,85.68,10.04,0.34,3.945714286,5,False,False,True,18,0.822983866,-0.568064747,6.834285714,8.587142857,8.507142857,25.97428571,14.21428571,3.181428571,26.07142857,25.65,25.98,25.32,25.10714286,25.04857143,83.82571429,85.16571429,86.02,85.55428571,85.99285714,87.01571429,2
Galle,249,2024-10-05,2024-10-11, 2024-10-05 to 2024-10-11,27.85,26.91,27.47428571,28.85,27.68,28.14571429,27.35,26.14,26.82428571,85.95,81.66,83.63285714,18.31,4.01,10.05142857,10,True,False,False,40,-0.992708874,0.12053668,5.772857143,2.715714286,1.287142857,2.984285714,5.69,2.28,27.95142857,28.30142857,28.18428571,27.95285714,28.02571429,27.96285714,84.5,83.56285714,85.04428571,84.94,83.51714286,83.25714286,0
Nuwara Eliya,144,2022-10-01,2022-10-07, 2022-10-01 to 2022-10-07,22.58,21.54,22.08428571,26.46,24.04,25.23857143,20.87,19.41,20.05285714,90.66,87.61,89.25142857,8.22,0.39,4.245714286,10,True,False,False,39,-1.0,-1.84e-16,2.358571429,0.192857143,0.058571429,6.941428571,14.80857143,3.648571429,22.72571429,22.66142857,22.56285714,22.29571429,21.8,22.34285714,88.54857143,88.44428571,89.59,91.72142857,91.53714286,90.66857143,0
Matale,201,2023-11-04,2023-11-10, 2023-11-04 to 2023-11-10,25.23,24.45,24.84714286,29.11,27.51,28.30571429,22.87,21.81,22.24142857,91.3,86.48,89.58,39.03,8.25,20.22571429,11,True,False,False,44,-0.822983866,0.568064747,17.12571429,7.414285714,16.52571429,15.7,13.72142857,8.367142857,25.16,24.94428571,24.71571429,25.57428571,25.17,25.70428571,87.25428571,87.11142857,89.45285714,87.26285714,86.62857143,84.27428571,0
Kilinochchi,144,2022-10-01,2022-10-07, 2022-10-01 to 2022-10-07,28.81,27.61,28.44142857,31.14,28.76,30.27,27.37,26.75,27.01571429,81.98,72.33,76.21428571,4.54,0.51,1.334285714,10,True,False,False,39,-1.0,-1.84e-16,3.292857143,0.102857143,0.115714286,2.287142857,6.315714286,5.887142857,28.77142857,28.47142857,28.30428571,27.85571429,27.46285714,28.10857143,76.99857143,78.20142857,79.31857143,81.45,80.94142857,80.27714286,0
Gampaha,167,2023-03-11,2023-03-17, 2023-03-11 to 2023-03-17,27.47,26.69,27.15,30.4,29.47,29.97714286,25.44,23.77,24.65428571,81.2,76.28,79.35857143,10.66,1.55,5.87,3,False,False,False,10,0.935016243,0.354604887,2.401428571,1.732857143,5.865714286,0.714285714,1.84,4.635714286,26.63428571,25.96428571,25.93142857,24.57,25.65428571,24.97285714,79.70857143,78.43142857,80.21571429,78.49428571,84.33857143,85.76857143,0
Kalutara,98,2021-11-13,2021-11-19, 2021-11-13 to 2021-11-19,26.93,26.2,26.59,28.15,27.03,27.74285714,26.08,25.23,25.69,89.72,84.81,87.41714286,15.72,3.67,9.355714286,11,True,False,False,45,-0.748510748,0.663122658,14.51571429,30.84142857,12.15857143,9.278571429,6.677142857,10.87,26.30857143,26.26428571,26.05571429,26.99714286,27.01142857,26.42857143,85.94,87.80285714,86.69285714,85.85428571,86.63857143,88.53857143,0
Trincomalee,179,2023-06-03,2023-06-09, 2023-06-03 to 2023-06-09,29.09,28.78,28.95571429,32.01,31.26,31.72571429,27.24,26.74,27.05571429,81.85,80.12,81.05571429,0.34,0.03,0.241428571,6,False,False,True,22,0.464723172,-0.885456026,0.678571429,0.275714286,0.424285714,7.908571429,16.52285714,5.585714286,29.04857143,28.98571429,28.85285714,27.72857143,28.3,29.19714286,82.14571429,81.65428571,84.62285714,82.54428571,81.44714286,77.75285714,0
Mannar,13,2020-03-28,2020-04-03, 2020-03-28 to 2020-04-03,29.8,28.99,29.33571429,35.37,34.06,34.69857143,25.2,24.18,24.74714286,67.68,64.0,65.66428571,0.11,0.0,0.022857143,3,False,False,False,13,1.0,-1.61e-16,0.184285714,0.022857143,0.387142857,0.002857143,0.594285714,1.308571429,29.26857143,29.10857143,28.27428571,27.72428571,27.53,26.49571429,65.88,69.96714286,71.46142857,68.63714286,75.59857143,74.52714286,0
Hambantota,157,2022-12-31,2023-01-06, 2022-12-31 to 2023-01-06,26.41,25.58,25.91142857,28.14,26.95,27.43571429,25.58,24.02,24.58142857,89.82,80.5,83.86142857,6.35,0.02,1.514285714,12,False,True,False,52,6.43e-16,1.0,7.617142857,12.43857143,4.437142857,8.748571429,6.74,0.545714286,26.48571429,26.4,26.82142857,26.40428571,27.08857143,27.46571429,84.81142857,85.98428571,82.10142857,82.30714286,80.62571429,78.61285714,1
