district,week_id,start_date,end_date,Duration,T2M_max,T2M_min,T2M_avg,T2M_MAX_max,T2M_MAX_min,T2M_MAX_avg,T2M_MIN_max,T2M_MIN_min,T2M_MIN_avg,RH2M_max,RH2M_min,RH2M_avg,PRECTOTCORR_max,PRECTOTCORR_min,PRECTOTCORR_avg,month,monsoon_IM2,monsoon_NE,monsoon_SW,week_number,sin_week,cos_week,PRECTOTCORR_avg_lag_1,PRECTOTCORR_avg_lag_2,PRECTOTCORR_avg_lag_3,PRECTOTCORR_avg_lag_4,PRECTOTCORR_avg_lag_5,PRECTOTCORR_avg_lag_6,T2M_avg_lag_1,T2M_avg_lag_2,T2M_avg_lag_3,T2M_avg_lag_4,T2M_avg_lag_5,T2M_avg_lag_6,RH2M_avg_lag_1,RH2M_avg_lag_2,RH2M_avg_lag_3,RH2M_avg_lag_4,RH2M_avg_lag_5,RH2M_avg_lag_6,target
Ampara,248,2024-09-28,2024-10-04, 2024-09-28 to 2024-10-04,29.67,27.61,28.69,32.77,28.96,30.95285714,27.46,26.34,26.97857143,82.58,73.7,79.61285714,9.74,1.21,4.121428571,9,False,False,True,39,-1.0,-1.84e-16,2.457142857,0.432857143,1.582857143,1.57,1.532857143,4.744285714,30.04428571,30.23,29.89714286,29.46428571,29.55428571,28.79285714,70.97,70.00714286,72.94857143,73.61428571,72.79714286,78.72714286,0
Gampaha,223,2024-04-06,2024-04-12, 2024-04-06 to 2024-04-12,29.65,27.92,29.01428571,34.02,30.92,32.54571429,27.08,25.04,26.35428571,83.04,69.1,77.29571429,23.79,0.45,5.317142857,4,False,False,False,14,0.992708874,-0.12053668,4.514285714,3.564285714,3.978571429,0.207142857,0.497142857,0.86,28.65571429,28.48571429,27.91285714,27.65857143,27.33571429,27.45142857,78.04285714,76.0,72.46714286,72.03285714,75.05857143,79.47,0
Matale,185,2023-07-15,2023-07-21, 2023-07-15 to 2023-07-21,26.59,26.11,26.35571429,31.05,29.41,30.32571429,24.31,23.64,23.95571429,82.26,77.44,80.45142857,1.65,0.04,0.581428571,7,False,False,True,28,-0.239315664,-0.970941817,0.525714286,4.042857143,2.788571429,2.257142857,1.725714286,1.264285714,26.20142857,25.13714286,25.79428571,26.10285714,26.34,26.27857143,80.70428571,85.05714286,84.71285714,83.96285714,84.67571429,84.66285714,0
Kandy,153,2022-12-03,2022-12-09, 2022-12-03 to 2022-12-09,23.84,21.31,22.88285714,28.15,23.98,26.37142857,21.44,19.04,20.32142857,93.28,84.83,89.84142857,15.2,1.41,7.614285714,12,False,True,False,48,-0.464723172,0.885456026,4.472857143,0.441428571,10.73714286,14.39,15.35285714,5.975714286,24.08428571,23.42714286,23.25142857,23.83428571,24.41714286,24.37142857,87.04714286,87.58857143,89.90571429,91.30714286,88.47428571,86.22428571,1
Jaffna,186,2023-07-22,2023-07-28, 2023-07-22 to 2023-07-28,29.7,28.87,29.18142857,31.88,30.08,30.69,28.25,27.53,27.90714286,77.65,71.56,75.43857143,1.77,0.06,0.492857143,7,False,False,True,29,-0.354604887,-0.935016243,0.202857143,2.13,0.412857143,0.47,1.665714286,0.302857143,29.49714286,29.26142857,29.12571429,29.19714286,29.46285714,30.08857143,77.02571429,76.29142857,75.69142857,78.47142857,78.23,77.15285714,0
Kandy,13,2020-03-28,2020-04-03, 2020-03-28 to 2020-04-03,28.27,26.82,27.41571429,36.84,35.62,36.18571429,22.34,18.98,20.50714286,71.04,63.44,66.08714286,4.17,0.01,0.861428571,3,False,False,False,13,1.0,-1.61e-16,0.528571429,0.992857143,0.8,0.717142857,0.46,1.982857143,26.85714286,26.92,26.1,25.47714286,24.60428571,23.65714286,66.49285714,73.18428571,73.52571429,75.11285714,84.28571429,84.49714286,0
Anuradhapura,201,2023-11-04,2023-11-10, 2023-11-04 to 2023-11-10,26.47,25.26,25.99714286,30.73,26.76,29.23428571,24.22,23.37,23.66142857,94.35,83.98,88.52142857,79.06,5.1,24.30428571,11,True,False,False,44,-0.822983866,0.568064747,13.61285714,6.727142857,15.88857143,15.17428571,4.435714286,1.821428571,26.28285714,26.50857143,26.28714286,27.40428571,28.06857143,28.10571429,86.24285714,84.20857143,86.60571429,82.03142857,75.43,75.01142857,0
Batticaloa,136,2022-08-06,2022-08-12, 2022-08-06 to 2022-08-12,28.91,27.76,28.16857143,31.93,30.43,31.17571429,26.19,25.19,25.75142857,77.62,74.52,76.05428571,0.88,0.0,0.21,8,False,False,True,31,-0.568064747,-0.822983866,7.234285714,3.681428571,3.795714286,1.608571429,1.248571429,0.48,27.60857143,28.14428571,28.66714286,28.15,28.22857143,28.50428571,79.30285714,77.02,77.64142857,75.33714286,77.89571429,78.28142857,0
Nuwara Eliya,205,2023-12-02,2023-12-08, 2023-12-02 to 2023-12-08,23.57,22.52,22.99714286,27.33,24.0,25.69,21.7,19.6,21.04428571,96.58,88.86,93.55857143,25.47,5.87,11.97,12,False,True,False,48,-0.464723172,0.885456026,9.118571429,18.54714286,10.97714286,19.03142857,16.12428571,12.02142857,22.44714286,23.33571429,23.07571429,22.96714286,22.94714286,22.86428571,91.49142857,88.95428571,92.27714286,89.55142857,89.95,89.35857143,0
Batticaloa,251,2024-10-19,2024-10-25, 2024-10-19 to 2024-10-25,28.88,28.03,28.47857143,31.23,28.92,29.90428571,27.6,26.59,27.20571429,86.3,75.8,79.75857143,9.69,1.86,5.545714286,10,True,False,False,42,-0.935016243,0.354604887,10.43,18.97571429,4.121428571,2.457142857,0.432857143,1.582857143,27.99571429,28.04571429,28.69,30.04428571,30.23,29.89714286,79.52142857,79.89142857,79.61285714,70.97,70.00714286,72.94857143,2
Polonnaruwa,276,2025-04-12,2025-04-18, 2025-04-12 to 2025-04-18,28.96,26.91,28.03428571,32.08,29.83,31.24142857,26.25,24.08,25.21285714,88.88,76.37,82.75,6.7,0.16,1.992857143,4,False,False,False,15,0.970941817,-0.239315664,6.267142857,11.56857143,2.764285714,3.86,7.344285714,7.03,27.58142857,26.86,27.56142857,27.08142857,26.54,26.70285714,84.14,80.99428571,82.57857143,86.03428571,83.34,83.44857143,0
Ratnapura,216,2024-02-17,2024-02-23, 2024-02-17 to 2024-02-23,26.47,24.99,25.70142857,31.2,29.96,30.51571429,23.45,20.7,22.06,88.28,83.69,85.87714286,1.87,0.02,0.527142857,2,False,True,False,7,0.748510748,0.663122658,0.53,1.391428571,4.874285714,2.182857143,1.148571429,23.29,24.56428571,24.24571429,25.04142857,23.93142857,23.78428571,24.33285714,86.21142857,85.71428571,87.57571429,84.51714286,86.02857143,91.08714286,3
Kandy,8,2020-02-22,2020-02-28, 2020-02-22 to 2020-02-28,24.98,24.02,24.60428571,30.69,28.48,29.91428571,22.52,19.21,20.85,88.02,80.29,84.28571429,2.24,0.0,0.46,2,False,True,False,8,0.822983866,0.568064747,1.982857143,0.887142857,0.008571429,0.001428571,3.558571429,0.998571429,23.65714286,23.47142857,22.98571429,22.31714286,24.24714286,22.47857143,84.49714286,85.88428571,86.90285714,85.88714286,90.11571429,86.89,0
Polonnaruwa,190,2023-08-19,2023-08-25, 2023-08-19 to 2023-08-25,31.07,30.55,30.85,37.72,35.64,37.06428571,26.84,25.4,26.03857143,63.12,60.0,61.30142857,1.38,0.01,0.307142857,8,False,False,True,33,-0.748510748,-0.663122658,0.192857143,1.474285714,0.041428571,0.171428571,0.145714286,0.214285714,30.17714286,30.46714286,29.98142857,29.55714286,29.57571429,29.34714286,63.35428571,64.35571429,66.25285714,67.24428571,68.35,69.45857143,0
Mannar,136,2022-08-06,2022-08-12, 2022-08-06 to 2022-08-12,28.53,27.72,28.09,31.49,29.43,30.31428571,26.9,25.98,26.48142857,80.94,76.08,78.38714286,0.15,0.0,0.057142857,8,False,False,True,31,-0.568064747,-0.822983866,1.71,5.778571429,2.705714286,8.442857143,0.148571429,0.035714286,27.92714286,28.00428571,28.12428571,28.19714286,28.80428571,29.06428571,79.66428571,77.90428571,81.44714286,76.05571429,73.87571429,75.36714286,0
Hambantota,283,2025-05-31,2025-06-06, 2025-05-31 to 2025-06-06,28.26,27.73,28.02428571,29.41,28.41,29.05571429,27.57,27.0,27.23,89.4,86.62,87.75714286,5.05,0.52,3.442857143,5,False,False,True,22,0.464723172,-0.885456026,11.41142857,6.024285714,4.595714286,10.05571429,11.41285714,7.88,28.05142857,28.31857143,28.51857143,28.36142857,28.09428571,28.46428571,88.03714286,86.68,84.50142857,84.25714286,82.79857143,84.66428571,0
Hambantota,130,2022-06-25,2022-07-01, 2022-06-25 to 2022-07-01,27.72,27.43,27.59285714,29.19,28.8,28.92285714,26.97,26.37,26.61285714,88.01,82.19,85.80571429,2.6,0.82,1.648571429,6,False,False,True,25,0.12053668,-0.992708874,3.397142857,5.462857143,3.245714286,8.985714286,4.145714286,8.044285714,27.66714286,27.26428571,27.42714286,27.52,27.56,27.78142857,84.40285714,85.52571429,86.36714286,86.99285714,87.05428571,87.78142857,0
Kegalle,247,2024-09-21,2024-09-27, 2024-09-21 to 2024-09-27,27.54,26.49,26.95142857,32.65,31.3,31.76571429,24.44,23.4,24.09,80.75,76.79,78.52714286,2.64,0.17,0.748571429,9,False,False,True,38,-0.992708874,-0.12053668,0.462857143,1.221428571,1.444285714,0.701428571,7.855714286,7.671428571,26.73571429,26.5,25.99428571,25.92428571,25.7,26.49714286,80.15714286,81.69714286,83.16,81.68571429,83.51,82.96857143,1
Matale,296,2025-08-30,2025-09-05, 2025-08-30 to 2025-09-05,26.05,25.52,25.84571429,31.05,29.22,30.08285714,23.49,22.87,23.22714286,82.02,78.24,80.46,0.69,0.0,0.247142857,8,False,False,True,35,-0.885456026,-0.464723172,0.83,0.894285714,1.565714286,4.042857143,2.015714286,4.758571429,25.71571429,25.33,24.90857143,24.86,25.31714286,24.67571429,82.89714286,84.51857143,85.13142857,86.69142857,84.76285714,87.59285714,0
Puttalam,239,2024-07-27,2024-08-02, 2024-07-27 to 2024-08-02,28.43,27.65,28.08285714,31.4,30.38,30.98571429,26.71,24.63,26.22428571,83.17,77.43,80.53857143,3.28,0.19,1.2,7,False,False,True,30,-0.464723172,-0.885456026,0.177142857,0.487142857,0.86,0.72,1.265714286,1.377142857,28.28,27.93428571,28.07714286,28.04571429,27.82,27.98857143,81.06428571,80.14285714,79.34,83.42428571,80.91857143,85.19,0
Kandy,204,2023-11-25,2023-12-01, 2023-11-25 to 2023-12-01,25.16,23.87,24.42428571,29.03,25.78,27.45857143,22.66,20.8,21.98571429,95.01,90.01,92.57,15.8,2.37,9.57,11,True,False,False,47,-0.568064747,0.822983866,19.19857143,11.44571429,20.22571429,17.12571429,7.414285714,16.52571429,25.32714286,25.04142857,24.84714286,25.16,24.94428571,24.71571429,87.89857143,91.70428571,89.58,87.25428571,87.11142857,89.45285714,0
Jaffna,226,2024-04-27,2024-05-03, 2024-04-27 to 2024-05-03,32.07,31.35,31.61142857,34.35,33.1,33.76857143,30.33,28.93,29.66285714,75.8,67.1,72.19142857,4.01,0.01,0.971428571,4,False,False,False,17,0.885456026,-0.464723172,0.091428571,0.367142857,1.075714286,0.648571429,1.077142857,1.252857143,31.50857143,30.76571429,30.65857143,30.05285714,29.12142857,28.83714286,68.20571429,73.81428571,71.45571429,72.09428571,71.07285714,73.00285714,0
Vavuniya,261,2024-12-28,2025-01-03, 2024-12-28 to 2025-01-03,26.55,24.79,25.72,28.57,27.0,28.02428571,25.18,22.82,24.06571429,92.07,81.08,86.12142857,18.45,0.08,5.012857143,12,False,True,False,52,6.43e-16,1.0,1.142857143,4.994285714,7.5,0.391428571,33.43857143,15.60571429,26.03142857,25.85285714,26.34571429,26.44,26.10142857,27.03,87.80857143,90.04571429,87.99857143,87.0,91.33428571,88.26857143,0
Hambantota,224,2024-04-13,2024-04-19, 2024-04-13 to 2024-04-19,29.78,28.73,29.19714286,31.25,29.64,30.57714286,28.55,27.34,28.06142857,84.58,76.75,81.45,8.17,0.91,3.934285714,4,False,False,False,15,0.970941817,-0.239315664,2.41,3.295714286,1.791428571,1.681428571,0.568571429,0.165714286,29.3,29.12142857,28.94285714,28.20142857,28.03857143,27.69,78.59714286,77.88142857,81.01285714,78.27,76.82285714,78.22428571,0
Badulla,18,2020-05-02,2020-05-08, 2020-05-02 to 2020-05-08,28.42,26.47,27.41142857,34.94,31.1,32.80428571,24.33,23.16,23.62142857,83.22,72.98,77.44428571,11.1,1.72,6.12,5,False,False,True,18,0.822983866,-0.568064747,3.334285714,3.937142857,6.072857143,2.128571429,0.305714286,0.351428571,27.14,26.72714286,26.66714286,26.85857143,25.8,24.96142857,77.08428571,79.64714286,78.32857143,73.63,72.58571429,75.43,0
Mannar,134,2022-07-23,2022-07-29, 2022-07-23 to 2022-07-29,28.56,27.22,28.00428571,30.47,28.85,29.84714286,27.17,25.41,26.40857143,85.15,70.26,77.90428571,9.5,1.96,5.778571429,7,False,False,True,29,-0.354604887,-0.935016243,2.705714286,8.442857143,0.148571429,0.035714286,1.628571429,1.734285714,28.12428571,28.19714286,28.80428571,29.06428571,28.17714286,27.97857143,81.44714286,76.05571429,73.87571429,75.36714286,79.36,79.76571429,0
Colombo,198,2023-10-14,2023-10-20, 2023-10-14 to 2023-10-20,26.28,25.27,25.91857143,28.47,26.84,27.76428571,24.9,23.94,24.43571429,91.51,84.72,87.38857143,23.96,9.79,17.73,10,True,False,False,41,-0.970941817,0.239315664,12.89428571,21.47714286,15.61428571,12.24285714,7.371428571,19.73857143,26.44571429,26.23142857,26.66857143,26.40428571,26.59,26.64142857,87.88285714,87.98571429,86.70142857,86.06285714,85.22571429,86.18,0
Vavuniya,292,2025-08-02,2025-08-08, 2025-08-02 to 2025-08-08,28.67,26.84,28.17142857,33.27,29.43,32.01,25.69,25.09,25.48571429,85.02,74.84,78.31285714,12.42,0.33,4.354285714,8,False,False,True,31,-0.568064747,-0.822983866,0.448571429,0.854285714,0.474285714,0.044285714,0.168571429,0.26,29.35857143,28.50428571,29.03571429,29.49,28.95142857,28.78428571,68.98571429,73.32285714,73.23571429,74.24857143,75.38714286,76.76571429,0
Matara,175,2023-05-06,2023-05-12, 2023-05-06 to 2023-05-12,28.15,27.55,27.88714286,29.8,29.09,29.41714286,27.4,26.5,26.80571429,85.18,81.76,83.55285714,14.27,2.83,6.822857143,5,False,False,True,18,0.822983866,-0.568064747,15.19714286,12.61,2.991428571,3.398571429,5.632857143,2.927142857,27.92714286,28.33428571,28.50428571,28.2,27.81,28.04714286,82.15857143,81.23714286,79.43714286,78.72714286,78.10428571,78.36142857,0
Monaragala,75,2021-06-05,2021-06-11, 2021-06-05 to 2021-06-11,25.21,24.48,24.81285714,29.91,27.23,28.99714286,22.54,21.13,21.81,89.91,83.2,86.77285714,11.7,0.6,4.754285714,6,False,False,True,22,0.464723172,-0.885456026,10.97714286,9.495714286,6.671428571,11.08857143,7.897142857,3.681428571,25.64571429,25.03,25.67285714,25.57571429,25.32285714,25.79857143,85.63857143,86.24,84.86571429,88.01857143,86.94428571,85.02428571,3
Puttalam,226,2024-04-27,2024-05-03, 2024-04-27 to 2024-05-03,31.88,29.98,30.78,37.44,32.33,34.67,28.3,27.1,27.79142857,78.07,62.13,72.10142857,10.64,0.01,3.041428571,4,False,False,False,17,0.885456026,-0.464723172,1.837142857,1.8,1.7,2.132857143,0.717142857,0.985714286,30.57857143,30.47428571,30.52285714,30.32,29.43285714,28.60714286,71.77,71.31857143,68.63142857,69.02571429,69.75714286,70.26714286,0
Galle,157,2022-12-31,2023-01-06, 2022-12-31 to 2023-01-06,27.06,26.4,26.76714286,28.62,27.77,28.22857143,25.89,24.71,25.16714286,83.38,71.14,76.27428571,6.29,0.02,1.168571429,12,False,True,False,52,6.43e-16,1.0,4.467142857,5.895714286,6.64,8.911428571,5.235714286,1.094285714,26.72142857,26.73285714,27.31285714,26.98,27.74714286,27.26285714,83.16857143,84.40285714,79.63,80.41571429,75.08428571,80.34142857,0
Anuradhapura,158,2023-01-07,2023-01-13, 2023-01-07 to 2023-01-13,24.39,21.72,22.93285714,27.52,26.95,27.21857143,22.82,17.51,19.86142857,91.76,81.44,84.63571429,30.96,0.0,5.505714286,1,False,True,False,1,0.12053668,0.992708874,3.114285714,7.83,15.98857143,1.427142857,13.03571429,3.61,23.82285714,24.87857143,24.80857143,24.86857143,24.09,25.25714286,86.99142857,90.31428571,90.93571429,86.50142857,88.67428571,86.37285714,0
Nuwara Eliya,39,2020-09-26,2020-10-02, 2020-09-26 to 2020-10-02,22.82,22.16,22.50285714,26.72,24.83,25.94142857,20.8,19.58,20.32142857,90.51,88.21,89.49714286,9.7,1.25,5.244285714,9,False,False,True,39,-1.0,-1.84e-16,7.595714286,3.218571429,8.197142857,4.095714286,3.768571429,0.244285714,22.02285714,22.64,22.49714286,22.56285714,23.41285714,23.12857143,89.09285714,89.78,88.99571429,89.20285714,86.44714286,87.78571429,0
Matara,22,2020-05-30,2020-06-05, 2020-05-30 to 2020-06-05,28.22,27.58,27.85571429,29.89,28.73,29.46571429,27.29,25.83,26.58714286,85.37,81.89,83.24857143,7.9,0.02,1.53,5,False,False,True,22,0.464723172,-0.885456026,5.784285714,9.891428571,19.46,7.742857143,6.181428571,4.041428571,28.07285714,28.24285714,28.27571429,28.55428571,28.53142857,28.47142857,87.08714286,84.46285714,84.43714286,82.16142857,80.77571429,81.33,0
Mullaitivu,182,2023-06-24,2023-06-30, 2023-06-24 to 2023-06-30,29.45,28.7,29.08,31.9,30.28,31.04142857,27.87,27.51,27.68714286,80.57,77.31,78.76428571,1.61,0.15,0.577142857,6,False,False,True,25,0.12053668,-0.992708874,2.23,0.754285714,0.447142857,0.368571429,0.734285714,0.618571429,29.30142857,29.74428571,29.51714286,29.55714286,29.18285714,29.12714286,78.67,78.83857143,80.52,80.54428571,83.55285714,85.60857143,1
Monaragala,112,2022-02-19,2022-02-25, 2022-02-19 to 2022-02-25,24.76,23.19,23.66714286,29.47,25.51,27.59571429,22.09,19.44,20.73571429,93.92,86.81,89.96571429,28.97,1.66,15.81285714,2,False,True,False,7,0.748510748,0.663122658,5.127142857,3.061428571,1.198571429,0.221428571,2.925714286,4.56,22.39571429,22.43714286,22.77,21.72,22.80571429,23.47285714,90.06857143,88.97142857,87.68571429,82.22285714,89.05285714,92.79285714,0
Nuwara Eliya,147,2022-10-22,2022-10-28, 2022-10-22 to 2022-10-28,23.14,21.65,22.22,27.43,24.04,25.92142857,20.08,17.96,19.37571429,94.35,81.01,89.21142857,13.02,0.0,7.124285714,10,True,False,False,42,-0.935016243,0.354604887,14.50428571,10.37571429,4.245714286,2.358571429,0.192857143,0.058571429,22.11,22.61428571,22.08428571,22.72571429,22.66142857,22.56285714,91.61857143,90.19285714,89.25142857,88.54857143,88.44428571,89.59,0
Gampaha,152,2022-11-26,2022-12-02, 2022-11-26 to 2022-12-02,27.3,25.84,26.58428571,30.42,28.87,29.34571429,25.12,22.54,23.83285714,80.98,74.03,77.53428571,12.69,0.98,4.615714286,11,True,False,False,47,-0.568064747,0.822983866,0.21,12.48714286,16.14285714,11.36285714,8.82,18.23857143,25.74857143,25.49571429,25.80285714,25.95857143,25.86857143,25.69571429,81.10142857,83.92285714,86.42285714,85.73571429,85.73428571,87.64428571,0
Kegalle,24,2020-06-13,2020-06-19, 2020-06-13 to 2020-06-19,26.72,26.27,26.48,31.05,30.08,30.51714286,24.56,23.53,23.99571429,83.69,81.59,82.49,1.0,0.28,0.628571429,6,False,False,True,24,0.239315664,-0.970941817,5.425714286,0.687142857,1.604285714,8.672857143,13.41714286,7.481428571,25.68428571,26.24714286,26.38714286,26.05428571,26.75,28.05571429,84.84571429,82.38142857,86.40571429,88.09571429,84.54285714,75.94571429,0
Kalutara,94,2021-10-16,2021-10-22, 2021-10-16 to 2021-10-22,27.28,26.69,26.99714286,28.81,27.76,28.42285714,26.16,25.15,25.85714286,88.9,83.0,85.85428571,23.86,3.54,9.278571429,10,True,False,False,41,-0.970941817,0.239315664,6.677142857,10.87,12.02,8.011428571,4.847142857,6.05,27.01142857,26.42857143,26.48714286,27.01285714,26.76571429,26.73,86.63857143,88.53857143,85.73571429,86.94857143,86.98857143,87.20142857,0
Monaragala,94,2021-10-16,2021-10-22, 2021-10-16 to 2021-10-22,25.29,24.31,24.99,30.19,27.73,29.17428571,22.66,20.55,21.90714286,87.8,82.38,86.07142857,13.34,1.34,6.771428571,10,True,False,False,41,-0.970941817,0.239315664,3.901428571,12.25,14.43142857,12.70285714,3.87,4.428571429,24.61142857,24.74857143,24.56142857,25.44285714,25.23428571,24.94571429,86.00714286,87.45142857,83.94285714,85.08571429,84.11285714,84.52571429,0
Badulla,31,2020-08-01,2020-08-07, 2020-08-01 to 2020-08-07,25.19,23.9,24.61428571,30.27,27.76,28.88571429,22.24,21.43,21.86714286,83.01,78.23,80.63428571,18.09,1.02,5.995714286,8,False,False,True,31,-0.568064747,-0.822983866,3.22,6.08,4.8,2.511428571,3.227142857,8.534285714,24.3,24.69428571,25.06142857,25.36714286,25.58,25.43142857,81.42,86.55714286,84.26142857,79.29714286,82.12714286,77.62285714,0
Mullaitivu,284,2025-06-07,2025-06-13, 2025-06-07 to 2025-06-13,29.62,28.91,29.29571429,32.14,30.77,31.37,28.27,27.62,27.90142857,82.73,77.67,80.42571429,4.27,0.45,2.428571429,6,False,False,True,23,0.354604887,-0.935016243,0.857142857,1.394285714,7.337142857,1.901428571,8.15,4.294285714,29.72857143,29.74142857,29.41714286,29.94857143,29.8,29.54,79.33714286,79.29857143,80.23,79.11714286,77.08714286,76.41857143,0
Kalutara,63,2021-03-13,2021-03-19, 2021-03-13 to 2021-03-19,27.63,25.79,27.19714286,30.87,26.73,29.79571429,24.8,24.34,24.63,86.85,74.61,77.96428571,8.1,1.16,4.644285714,3,False,False,False,10,0.935016243,0.354604887,7.551428571,0.331428571,2.96,1.088571429,2.021428571,4.822857143,27.01428571,26.64,27.03571429,26.64857143,26.00857143,26.36142857,78.91428571,74.11714286,80.45571429,80.79428571,79.12,81.17142857,0
Matara,228,2024-05-11,2024-05-17, 2024-05-11 to 2024-05-17,28.98,28.16,28.45714286,30.93,29.22,29.84428571,27.5,27.24,27.40857143,86.71,79.81,82.96857143,14.57,3.1,10.18,5,False,False,True,19,0.748510748,-0.663122658,4.695714286,4.904285714,3.38,3.217142857,2.511428571,4.815714286,29.31428571,29.25428571,29.08142857,28.67714286,28.85571429,28.72857143,82.83428571,82.11,80.84285714,82.97714286,80.7,79.73142857,0
Puttalam,152,2022-11-26,2022-12-02, 2022-11-26 to 2022-12-02,26.79,25.64,26.31857143,30.35,29.37,29.89714286,24.1,21.7,23.09,84.44,80.27,82.45285714,9.77,0.34,3.324285714,11,True,False,False,47,-0.568064747,0.822983866,0.021428571,4.755714286,14.06571429,12.21,4.521428571,12.33714286,26.02,25.67142857,25.93714286,26.10428571,26.45857143,26.54,78.92,83.88571429,87.01571429,86.10571429,82.76,84.37714286,0
Batticaloa,173,2023-04-22,2023-04-28, 2023-04-22 to 2023-04-28,30.17,28.8,29.47571429,32.42,29.85,30.98714286,28.65,27.92,28.27142857,81.97,71.13,76.62857143,15.47,1.22,6.441428571,4,False,False,False,16,0.935016243,-0.354604887,1.09,1.511428571,5.177142857,0.065714286,2.557142857,3.847142857,29.60428571,28.81428571,28.46142857,28.25428571,27.88714286,27.29714286,73.70571429,74.74142857,77.29428571,75.39285714,79.14,82.75571429,0
Colombo,121,2022-04-23,2022-04-29, 2022-04-23 to 2022-04-29,28.08,26.58,27.57285714,30.69,28.18,29.69571429,26.17,25.27,25.79285714,86.5,79.11,83.71857143,19.18,6.63,10.94714286,4,False,False,False,16,0.935016243,-0.354604887,7.37,13.71,27.72428571,5.035714286,0.807142857,3.152857143,27.3,26.66428571,26.83285714,27.60285714,27.26857143,27.01285714,87.20857143,85.60571429,82.65714286,80.53714286,80.61,79.41285714,0
Kurunegala,217,2024-02-24,2024-03-01, 2024-02-24 to 2024-03-01,25.53,24.27,24.85,30.32,28.91,29.66428571,22.54,19.89,21.39,87.94,85.7,86.91571429,0.84,0.0,0.235714286,2,False,True,False,8,0.822983866,0.568064747,0.68,0.745714286,1.671428571,4.645714286,1.221428571,5.447142857,25.15428571,24.11571429,23.48,24.20714286,22.71428571,23.00428571,86.99142857,88.79428571,89.59428571,91.4,88.87714286,90.01428571,0
Mannar,66,2021-04-03,2021-04-09, 2021-04-03 to 2021-04-09,29.66,28.67,29.12142857,33.68,31.86,32.80142857,27.03,24.88,26.09428571,76.34,71.57,73.03857143,1.95,0.03,0.547142857,4,False,False,False,13,1.0,-1.61e-16,0.56,0.474285714,0.027142857,2.825714286,0.001428571,0.925714286,28.84428571,27.99571429,27.30714286,27.11571429,25.87,26.37571429,76.35142857,74.99857143,77.79285714,82.46571429,76.53142857,80.92857143,0
Kalutara,254,2024-11-09,2024-11-15, 2024-11-09 to 2024-11-15,27.46,26.82,27.18285714,29.91,27.91,29.12,25.99,24.96,25.52428571,89.24,82.09,84.74714286,69.49,0.5,15.55714286,11,True,False,False,45,-0.748510748,0.663122658,13.89,3.671428571,5.942857143,7.591428571,11.56571429,5.457142857,26.67428571,27.23857143,27.15142857,26.8,26.44142857,27.34,85.12714286,87.66714286,86.65857143,85.33285714,86.63428571,85.40714286,0
Galle,67,2021-04-10,2021-04-16, 2021-04-10 to 2021-04-16,28.14,27.68,27.91142857,29.23,28.36,28.83,27.3,26.78,27.06285714,78.55,74.34,77.35285714,29.6,1.57,7.564285714,4,False,False,False,14,0.992708874,-0.12053668,1.461428571,14.03428571,7.787142857,4.347142857,7.2,0.47,27.93714286,27.82428571,27.27571429,27.80285714,27.53428571,27.37571429,82.58714286,80.67,79.66857143,76.98714286,80.03714286,73.73142857,0
Vavuniya,237,2024-07-13,2024-07-19, 2024-07-13 to 2024-07-19,30.13,28.56,29.49,34.49,31.8,33.38142857,27.16,26.48,26.82285714,76.05,66.68,69.59714286,0.11,0.01,0.051428571,7,False,False,True,28,-0.239315664,-0.970941817,0.268571429,0.855714286,0.342857143,0.342857143,0.141428571,2.888571429,29.14,29.1,29.36857143,29.12857143,28.78714286,28.69857143,72.51428571,75.90428571,69.63714286,77.19428571,79.82,82.25571429,0
Matale,71,2021-05-08,2021-05-14, 2021-05-08 to 2021-05-14,26.98,25.39,25.98857143,31.8,27.97,29.3,24.32,22.47,23.52,91.94,81.93,88.52142857,18.45,3.73,9.121428571,5,False,False,True,18,0.822983866,-0.568064747,12.29,2.764285714,1.45,15.40714286,0.772857143,4.722857143,26.42142857,26.42428571,25.90857143,25.81571429,26.23714286,25.9,84.54857143,83.59428571,86.91857143,84.26857143,78.52142857,81.18,0
Mullaitivu,163,2023-02-11,2023-02-17, 2023-02-11 to 2023-02-17,25.65,25.22,25.45285714,27.16,26.81,27.03571429,24.23,23.64,23.99571429,76.84,72.39,74.74,0.24,0.0,0.034285714,2,False,True,False,6,0.663122658,0.748510748,0.88,20.44857143,1.884285714,0.091428571,1.842857143,3.75,26.17285714,26.10857143,25.82714286,25.28,25.38571429,25.96857143,80.34,84.40571429,77.45428571,75.97571429,74.83,78.57142857,0
Badulla,119,2022-04-09,2022-04-15, 2022-04-09 to 2022-04-15,25.94,24.93,25.32,30.9,28.29,29.52571429,22.71,21.35,21.86,87.84,82.5,85.55428571,67.2,4.84,25.97428571,4,False,False,False,14,0.992708874,-0.12053668,14.21428571,3.181428571,2.325714286,2.77,2.558571429,4.171428571,25.10714286,25.04857143,25.43142857,24.46428571,23.79714286,23.14428571,85.99285714,87.01571429,83.52428571,86.47285714,88.53142857,90.06,4
