,MAE,RMSE,R2,Interval_Coverage,Interval_Width,Model,Train_Samples,Test_Samples
Leptospirosis,8.446269682032954,13.985966117851786,-0.12938969500040587,0.8680109990834097,23.730440844833076,"ARIMA(1,0,1)",5820,1091
Typhus,1.3187411772011628,3.1343313073633716,-0.00106888567925556,0.9780018331805683,8.556432271178384,"ARIMA(1,0,1)",5820,1091
Hepatitis A,0.505310470734483,0.9524699873192983,-0.0397018107911451,0.922089825847846,1.6013737174207687,"ARIMA(1,0,1)",5820,1091
Chickenpox,5.361013331727193,7.397762925996616,-0.12721477820493798,0.7818515123739689,12.677421249572818,"ARIMA(1,0,1)",5820,1091
