,Ensemble_MAE,Ensemble_R2,LSTM_MAE,LSTM_R2,Is_Overfit,Params_Iteration
Leptospirosis_iter1,5.519652506487967,-0.13358534062107807,5.316705703735352,0.004328310489654541,True,1
Typhus_iter1,0.9349119999998893,-0.13256546862243934,1.0778241157531738,0.0647963285446167,True,1
Hepatitis A_iter1,0.34016398528990754,-0.19239049255879048,0.4359178841114044,0.07253235578536987,True,1
Chickenpox_iter1,7.034598571462359,-0.8834174336227627,6.030555248260498,-0.44939303398132324,True,1
Leptospirosis_iter2,5.448926389389308,-0.10281872532070269,5.405282497406006,0.017964184284210205,True,2
Typhus_iter2,0.934753257145133,-0.1341713385319243,1.0880135297775269,0.12835973501205444,True,2
Hepatitis A_iter2,0.3394285714285714,-0.19379523075097893,0.4302661418914795,0.014105558395385742,True,2
Chickenpox_iter2,7.044519548527363,-0.8878885740368838,6.703010559082031,-0.7461503744125366,True,2
Leptospirosis_iter3,5.376346153865346,-0.07063840075819883,5.2109694480896,0.08019638061523438,False,3
Typhus_iter3,0.9345040000000535,-0.13427531224567835,1.0594372749328613,0.0903700590133667,True,3
Hepatitis A_iter3,0.3390891428647297,-0.18888434171726964,0.415669322013855,0.08479100465774536,True,3
Chickenpox_iter3,7.057261609738104,-0.8928990478153347,6.196563720703125,-0.5287808179855347,True,3
