,ARIMA_MAE,ARIMA_RMSE,ARIMA_R2,Ensemble_MAE,Ensemble_RMSE,Ensemble_R2,LSTM_MAE,LSTM_RMSE,LSTM_R2
Leptospirosis,6.0267261368810825,8.642530918745203,-0.0337418468115082,5.344474988425994,8.728403568308389,-0.0543865317250329,5.27995491027832,8.47627222645271,0.0079421997070312
Typhus,1.2081140774865895,2.5293093597996874,0.0020602885113862,0.9334230764532472,2.658549427872493,-0.1025286431929952,1.073312520980835,2.4639981084234237,0.0568184256553649
Hepatitis A,0.46396874080635,0.7778687453466403,-0.0177917735085475,0.340273834645887,0.8407097786044343,-0.1888812838411815,0.4171963036060333,0.7727036896462643,-0.0012345314025878
Chickenpox,6.13841644640091,8.765736696492906,-0.4737606616511336,6.867754828909052,9.746784457242764,-0.8221026576636201,5.9642653465271,8.637802573616813,-0.4288674592971802
