,Ensemble_R2_Best,Ensemble_Best_Config,LSTM_R2,Winner,R2_Difference
Leptospirosis,-0.1320822670871602,Feature_Pruning,0.029694855213165283,LSTM,0.16177712230032548
Typhus,-0.1351860324442684,Ensemble_Balance,0.04868823289871216,LSTM,0.18387426534298057
Hepatitis A,-0.19335029074144683,Ensemble_Balance,0.0646701455116272,LSTM,0.258020436253074
Chickenpox,-0.8926222781324502,Feature_Pruning,-0.5353473424911499,LSTM,0.3572749356413003
